SID,SBSOD,Distance,Direction,Gender,Condition String,MRT
FVZI,5,-0.4065,33.2098,M,2M,32
FQGS,4.4,0.6201,85.4033,M,2M,44
MEPN,4,-0.2031,90.0708,M,2M,37
FQMM,4.7333,-0.2768,29.9846,M,2M,46
MHGM,3.3333,0.1539,70.702,M,2M,32
GCIV,5.1333,-0.2243,42.5548,M,2M,34
LCPU,4.5333,-0.2748,97.5609,M,2M,20
FGTV,3.9333,0.0361,39.5168,M,2M,15
CXYL,4.4,1.1936,69.3313,M,2M,32
UZMT,4.2667,1.2148,39.0224,M,2M,46
GGMO,2.8,0.9209,37.0439,M,2M,38
YPGZ,5.5333,0.493,47.9527,M,2M,12
JYVB,5.2,0.5087,25.7691,M,2M,45
YLTR,3.8,1.5114,48.4566,M,3M,19
FTLB,4.5333,-0.3703,43.5605,M,3M,22
SOZG,3.8667,-0.0334,61.8607,M,3M,19
AFRB,4.6667,-0.1072,81.0913,M,3M,42
NIBV,5.1333,0.0126,80.0276,M,3M,8
BQHT,4.9333,-0.2335,18.8613,M,3M,43
TSPS,6.2667,0.5548,51.9747,M,3M,29
CARL,3.1333,0.9122,48.6148,M,3M,33
HUNT,6.1333,0.9361,49.1978,M,3M,38
CONN,2.2,-0.05,23.5546,M,3M,42
FMKJ,5,0.2003,85.3746,M,4M,-8
XBCP,3.8,-0.3883,53.0009,M,4M,45
SFUG,4.5333,-0.324,36.5147,M,4M,14
QHTL,4.1333,-0.0558,33.7485,M,4M,14
HCVW,2.4667,-0.1597,65.7854,M,4M,24
LVEY,4,0.2753,88.8363,M,4M,46
SGLD,5.6,1.1155,22.2039,M,4M,42
ALBT,5.3333,0.6271,33.3191,M,4M,33
PATL,4.5333,-0.3682,38.6561,M,4M,36
DFKL,2.4667,-0.0179,44.3255,M,4M,26
SKLA,3.8,-0.3157,76.6031,M,WM,40
MLBK,4.7333,-0.7263,57.9773,M,WM,46
BUCK,2.8,-0.2106,71.7113,M,WM,24
LZQT,4,-0.4897,56.3098,M,WM,25
FJXV,4.8667,-0.3652,28.5561,M,WM,44
GKSM,6.0667,-0.0314,32.157,M,WM,44
KRBM,4.6,-0.2982,28.782,M,WM,42
LSTM,5.7333,0.2233,63.8833,M,WM,44
CART,5.8667,-0.4829,22.0647,M,WM,18
DOOL,3.3333,-0.3772,21.2394,M,WM,18
PUBL,5.8,-0.3833,43.2996,M,WM,42
AAAA,5.1333,0.3776,25.9641,F,2F,15
HDNQ,3.1333,1.601,89.047,F,2F,28
BPUF,3.5333,-0.1152,86.0309,F,2F,8
RRSK,4.4667,0.9538,82.3598,F,2F,27
OVOW,2.8667,-0.3574,104.206,F,2F,18
VJGB,3.4,0.1224,83.4676,F,2F,33
ITCT,5.2667,1.6488,46.4568,F,2F,38
QMGI,2.9333,2.5566,71.9708,F,2F,34
PGJC,2,-0.0636,80.3152,F,2F,22
ACGN,4.0667,-0.3466,48.3009,F,2F,18
WRED,3.7333,0.1431,81.1852,F,2F,32
WJJU,4.4667,-0.4163,71.4029,F,2F,34
TRTT,3.5333,-0.2985,50.6203,F,2F,38
CBDG,4.9333,-0.2423,80.41,F,3F,24
JKOY,3.4,0.3808,67.8783,F,3F,24
HTLW,4.2667,-0.0119,53.9555,F,3F,33
XKAL,4.4,0.3356,55.927,F,3F,32
